dataset,fao_dataset_title,owid_dataset_title,fao_dataset_description,owid_dataset_description
faostat_ef,"Land, Inputs and Sustainability: Fertilizers indicators - FAO (2021)",Agri-Environmental Indicators: Fertilizers indicators,"The data provides the ratio between the totals by nutrient of agricultural use of chemical or mineral fertilizers, reported in the FAOSTAT domain Inputs/Fertilizers by Nutrient for nitrogen (N), phosphorus (expressed as P2O5) and potassium (expressed as K2O), and the area of cropland (sum of arable land and permanent crops) reported in the FAOSTAT domain Inputs/Land Use. Data are provided at national, regional, and global level over the time series 1961-present.","The data describe the use of chemical and mineral fertilizers per area of cropland (which corresponds to the sum of arable land and permanent crops) at national, regional, and global level in a time series from 2002 to 2017"
faostat_ei,Climate Change: Emissions intensities - FAO (2021),Agri-Environmental Indicators: Emissions intensities,Intensities of greenhouse gas (GHG) emissions by unit of product for a selection of agricultural commodities.,
faostat_ek,"Land, Inputs and Sustainability: Livestock Patterns - FAO (2021)",Agri-Environmental Indicators: Livestock Patterns,"The Livestock Patterns domain of the FAOSTAT Agri-Environmental Indicators contains data on livestock numbers, shares of major livestock species and livestock densities in the agricultural land area. Values are calculated using Livestock Units (LSU), which facilitate aggregating information for different livestock types. Data are available by country, with global coverage, for the period 1961 to present, with annual updates. This methodology applies the LSU coefficients reported in the ""Guidelines for the preparation of livestock sector reviews"" (FAO, 2011). From this publication, LSU coefficients are computed by livestock type and by country. The reference unit used for the calculation of livestock units (=1 LSU) is the grazing equivalent of one adult dairy cow producing 3000 kg of milk annually, fed without additional concentrated foodstuffs.   FAOSTAT agri-environmental indicators on livestock patterns closely follow the structure of the indicators in EUROSTAT.","The Livestock Patterns domain of the FAOSTAT Agri-Environmental Indicators contains data on livestock numbers, shares of major livestock species and livestock densities in the agricultural land area. Values are calculated using Livestock Units (LSU), which facilitate aggregating information for different livestock types. Data are available by country, with global coverage, for the period 19612017. This methodology applies the LSU coefficients reported in the ""Guidelines for the preparation of livestock sector reviews"" (FAO, 2011). From this publication, LSU coefficients are computed by livestock type and by country. The reference unit used for the calculation of livestock units (=1 LSU) is the grazing equivalent of one adult dairy cow producing 3000 kg of milk annually, fed without additional concentrated foodstuffs.   FAOSTAT agri-environmental indicators on livestock patterns closely follow the structure of the indicators in EUROSTAT."
faostat_el,"Land, Inputs and Sustainability: Land use indicators - FAO (2021)",Agri-Environmental Indicators: Land use indicators,"The Agri-environmental IndicatorsLand Use domain provides information on the distribution of agricultural and forest land, and their sub-components, including irrigated areas and areas under organic agriculture, at national, regional and global levels.",
faostat_emn,"Land, Inputs and Sustainability: Livestock Manure - FAO (2021)",Agri-Environmental Indicators: Livestock Manure,"The Livestock Manure domain under the FAOSTAT section of Agri-Environmental Indicators contains estimates of nitrogen (N) inputs to agricultural soils from livestock manure.Data on the N losses to air and water are also disseminated.These estimates are compiled using official FAOSTAT statistics of animal stocks and by applying the internationally approved Guidelines of the Intergovernmental Panel on Climate Change (IPCC). Data are available by country, with global coverage and relative to the period 19612018, with annual updates. The following elements are disseminated: 1) Stocks; 2) Amount excreted in manure (N content);  3) Manure left on pasture (N content); 4) Manure left on pasture that volatilises (N content); 5) Manure left on pasture that leaches (N content); 6) Manure treated (N content); 7) Losses from manure treated (N content); 8) Manure applied to soils (N content); 9) Manure applied to soils that volatilises (N content); 10) Manure applied to soils that leaches (N content).","The Livestock Manure domain under the FAOSTAT section of Agri-Environmental Indicators contains estimates of nitrogen (N) inputs to agricultural soils from livestock manure. These estimates are compiled using official FAOSTAT statistics of animal stocks and by applying the internationally approved Guidelines of the Intergovernmental Panel on Climate Change (IPCC). Data are available by country, with global coverage and relative to the period 19612017, with annual updates. The following elements are disseminated: 1) Stocks; 2) Amount excreted in manure (N content);  3) Manure left on pasture (N content); 4) Manure left on pasture that volatilises (N content); 5) Manure left on pasture that leaches (N content); 6) Manure treated (N content); 7) Losses from manure treated (N content); 8) Manure applied to soils (N content); 9) Manure applied to soils that volatilises (N content); 10) Manure applied to soils that leaches (N content)."
faostat_ep,"Land, Inputs and Sustainability: Pesticides indicators - FAO (2021)",Agri-Environmental Indicators: Pesticides indicators,Agri-environmental indicator on the Use of pesticides per area of cropland (which is the sum of arable land and land under permanent crops) at national level for the period 1990 to 2016.,
faostat_esb,"Land, Inputs and Sustainability: Soil nutrient budget - FAO (2021)",,"Land, Inputs and Sustainability: Soil nutrient budget.",
faostat_fa,Discontinued archives and data series: Food Aid Shipments (WFP) - FAO (2016),,Discontinued archives and data series: Food Aid Shipments (WFP).,
faostat_fbs,Food Balances: Food Balances (2010-) - FAO (2022),Food Balance: New Food Balances,"Food Balance Sheet presents a comprehensive picture of the pattern of a country's food supply during a specified reference period. The food balance sheet shows for each food item - i.e. each primary commodity and a number of processed commodities potentially available for human consumption - the sources of supply and its utilization. The total quantity of foodstuffs produced in a country added to the total quantity imported and adjusted to any change in stocks that may have occurred since the beginning of the reference period gives the supply available during that period. On the utilization side a distinction is made between the quantities exported, fed to livestock, used for seed, put to manufacture for food use and non-food uses, losses during storage and transportation, and food supplies available for human consumption. The per caput supply of each such food item available for human consumption is then obtained by dividing the respective quantity by the related data on the population actually partaking of it. Data on per caput food supplies are expressed in terms of quantity and - by applying appropriate food composition factors for all primary and processed products - also in terms of caloric value and protein and fat content.",
faostat_fbsc,Food Balances: Food Balances (2010-) - FAO (2022),"Food Balances (old methodology before 2010, and new from 2010 onwards)","Food Balance Sheet presents a comprehensive picture of the pattern of a country's food supply during a specified reference period. The food balance sheet shows for each food item - i.e. each primary commodity and a number of processed commodities potentially available for human consumption - the sources of supply and its utilization. The total quantity of foodstuffs produced in a country added to the total quantity imported and adjusted to any change in stocks that may have occurred since the beginning of the reference period gives the supply available during that period. On the utilization side a distinction is made between the quantities exported, fed to livestock, used for seed, put to manufacture for food use and non-food uses, losses during storage and transportation, and food supplies available for human consumption. The per caput supply of each such food item available for human consumption is then obtained by dividing the respective quantity by the related data on the population actually partaking of it. Data on per caput food supplies are expressed in terms of quantity and - by applying appropriate food composition factors for all primary and processed products - also in terms of caloric value and protein and fat content.",
faostat_fbsh,"Food Balances: Food Balances (-2013, old methodology and population) - FAO (2021)",Food Balance: Food Balances (old methodology and population),"Food Balance Sheet presents a comprehensive picture of the pattern of a country's food supply during a specified reference period. The food balance sheet shows for each food item - i.e. each primary commodity and a number of processed commodities potentially available for human consumption - the sources of supply and its utilization. The total quantity of foodstuffs produced in a country added to the total quantity imported and adjusted to any change in stocks that may have occurred since the beginning of the reference period gives the supply available during that period. On the utilization side a distinction is made between the quantities exported, fed to livestock, used for seed, put to manufacture for food use and non-food uses, losses during storage and transportation, and food supplies available for human consumption. The per caput supply of each such food item available for human consumption is then obtained by dividing the respective quantity by the related data on the population actually partaking of it. Data on per caput food supplies are expressed in terms of quantity and - by applying appropriate food composition factors for all primary and processed products - also in terms of caloric value and protein and fat content.",
