indicator,chart,chart_slug,chart_id,variable_id,variable_name,dataset_id,dataset_name
15.1.1,https://ourworldindata.org/grapher/forest-area-as-share-of-land-area,forest-area-as-share-of-land-area,776,145375,Forest cover,5201,dataset_5201_forest_land__deforestation_and_change__fao__2020
15.1.2,https://ourworldindata.org/grapher/terrestrial-protected-areas,terrestrial-protected-areas,1624,147876,Terrestrial protected areas (% of total land area),5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
15.1.2,https://ourworldindata.org/grapher/protected-terrestrial-biodiversity-sites,protected-terrestrial-biodiversity-sites,2087,416229,15.1.2 - Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%) - ER_PTD_TERR,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
15.1.2,https://ourworldindata.org/grapher/proportion-of-important-sites-for-freshwater-biodiversity-covered-by-protected-areas,proportion-of-important-sites-for-freshwater-biodiversity-covered-by-protected-areas,2088,416228,15.1.2 - Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%) - ER_PTD_FRHWTR,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
15.2.1,https://ourworldindata.org/grapher/forest-area-net-change-rate,forest-area-net-change-rate,2092,416232,15.2.1 - Annual forest area change rate (%) - AG_LND_FRSTCHG,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
15.2.1,https://ourworldindata.org/grapher/above-ground-biomass-in-forest-per-hectare,above-ground-biomass-in-forest-per-hectare,2093,416230,15.2.1 - Above-ground biomass in forest (tonnes per hectare) - AG_LND_FRSTBIOPHA,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
15.2.1,https://ourworldindata.org/grapher/proportion-of-forest-area-within-legally-established-protected-areas,proportion-of-forest-area-within-legally-established-protected-areas,2090,416234,15.2.1 - Proportion of forest area within legally established protected areas (%) - AG_LND_FRSTPRCT,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
15.2.1,https://ourworldindata.org/grapher/proportion-of-forest-area-with-long-term-management-plan,proportion-of-forest-area-with-long-term-management-plan,2089,416233,15.2.1 - Proportion of forest area with a long-term management plan (%) - AG_LND_FRSTMGT,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
15.2.1,https://ourworldindata.org/grapher/proportion-of-forest-area-certified-under-an-independently-verified-certification-scheme,proportion-of-forest-area-certified-under-an-independently-verified-certification-scheme,2091,416231,15.2.1 - Forest area under an independently verified forest management certification scheme (thousands of hectares) - AG_LND_FRSTCERT,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
15.3.1,https://ourworldindata.org/grapher/share-degraded-land,share-degraded-land,3859,416235,15.3.1 - Proportion of land that is degraded over total land area (%) - AG_LND_DGRD,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
